0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	22
0	42
33	49
33	60
34	80
66	96
83	109
93	123
101	144
112	161
142	170
154	206
176	208
183	218
211	239
229	253
242	272
249	286
272	304
277	317
304	336
306	345
335	365
358	378
364	391
390	403
400	421
414	445
416	469
451	479
449	497
465	497
481	520
516	537
528	555
540	570
567	582
588	601
589	622
611	631
614	653
641	666
645	667
633	688
670	718
711	715
711	738
733	757
727	782
751	786
783	890
800	835
806	849
814	845
848	875
865	883
861	929
880	918
895	875
915	959
944	1046
965	979
961	990
1009	1011
1005	1037
1017	1045
1040	1099
1062	1082
1070	1090
1073	1104
1110	1121
1126	1273
1168	1096
1136	1174
1197	1189
1171	1217
1204	1130
1141	1241
1232	1249
1264	1277
1271	1296
1250	1301
1248	1351
1318	1328
1377	1363
1347	1282
1363	1379
1370	1362
1360	1463
1406	1421
1399	1429
1437	1447
1407	1454
1483	1471
1502	1488
1500	1499
1471	1519
1535	1531
1550	1552
1552	1611
1587	1615
1600	1563
1612	1603
1648	1629
1646	1633
1654	1578
1674	1659
1712	1680
1733	1681
1743	1747
1757	1698
1774	1699
1781	1741
1787	1743
1803	1757
1805	1774
1847	1762
1863	1807
1881	1769
1866	1875
1911	1821
1893	1841
1941	1868
1969	1872
1968	1878
1998	1886
2006	1899
2032	1910
2059	1933
2058	1873
2081	1943
2071	1954
2099	1963
2107	1980
2131	1983
2169	2033
2161	2001
2192	2026
2222	2027
2233	2037
2249	2042
2231	2056
2269	2074
2272	2082
2304	2083
2322	2099
2343	2102
2338	2117
2368	2118
2369	2129
2385	2142
2416	2151
2402	2160
2443	2160
2455	2175
2454	2176
2478	2178
2507	2192
2502	2203
2542	2211
2526	2218
2559	2225
2598	2238
2619	2237
2606	2256
2642	2255
2643	2256
2656	2267
2691	2343
2691	2283
2717	2272
2735	2295
2741	2302
2773	2304
2778	2314
2799	2320
2807	2323
2817	2341
2851	2326
2864	2343
2875	2342
2903	2357
2907	2355
2941	2364
2951	2358
2957	2380
2979	2330
3009	2384
2957	2386
3030	2395
3058	2435
3082	2410
3088	2416
3086	2416
3138	2427
3147	2432
3166	2421
3179	2454
3099	2341
3232	2463
3236	2455
3250	2464
3286	2470
3300	2476
3313	2416
3345	2480
3378	2482
3375	2485
3417	2495
3458	2475
3485	2361
3445	2511
3486	2533
3502	2512
3531	2597
3633	2526
3567	2527
3505	2533
3655	2538
3693	2543
3773	2535
3751	2555
3750	2559
3757	2559
3667	2592
3843	2576
3989	2579
3935	2553
3888	2587
3952	2607
3998	2595
4031	2603
4036	2605
4077	2622
4095	2605
4061	2611
4095	2577
4095	2623
4095	2635
4095	2630
4095	2643
4095	2705
